nanoseconds,logic,logic,logic,logic,logic,logic,logic,logic
0,1,0,1,1,1,1,1,1
125,1,0,1,1,1,1,1,1
250,1,0,1,1,1,1,1,1
375,1,0,1,1,1,1,1,1
500,1,0,1,1,1,1,1,1
625,1,0,1,1,1,1,1,1
750,1,0,1,1,1,1,1,1
875,1,0,1,1,1,1,1,1
1000,1,0,1,1,1,1,1,1
1125,1,0,1,1,1,1,1,1
1250,1,0,1,1,1,1,1,1
1375,1,0,1,1,1,1,1,1
1500,1,0,1,1,1,1,1,1
1625,1,0,1,1,1,1,1,1
1750,1,0,1,1,1,1,1,1
1875,1,0,1,1,1,1,1,1
2000,1,0,1,1,1,1,1,1
2125,1,0,1,1,1,1,1,1
2250,1,0,1,1,1,1,1,1
2375,1,0,1,1,1,1,1,1
2500,1,0,1,1,1,1,1,1
2625,1,0,1,1,1,1,1,1
2750,1,0,1,1,1,1,1,1
2875,1,0,1,1,1,1,1,1
3000,1,0,1,1,1,1,1,1
3125,1,0,1,1,1,1,1,1
3250,1,0,1,1,1,1,1,1
3375,1,0,1,1,1,1,1,1
3500,1,0,1,1,1,1,1,1
3625,1,0,1,1,1,1,1,1
3750,1,0,1,1,1,1,1,1
3875,1,0,1,1,1,1,1,1
4000,1,0,1,1,1,1,1,1
4125,1,0,1,1,1,1,1,1
4250,1,0,1,1,1,1,1,1
4375,1,0,1,1,1,1,1,1
4500,1,0,1,1,1,1,1,1
4625,1,0,1,1,1,1,1,1
4750,1,0,1,1,1,1,1,1
4875,1,0,1,1,1,1,1,1
5000,1,0,1,1,1,1,1,1
5125,1,0,1,1,1,1,1,1
5250,1,0,1,1,1,1,1,1
5375,1,0,1,1,1,1,1,1
5500,1,0,1,1,1,1,1,1
5625,1,0,1,1,1,1,1,1
5750,1,0,1,1,1,1,1,1
5875,1,0,1,1,1,1,1,1
6000,1,0,1,1,1,1,1,1
6125,1,0,1,1,1,1,1,1
6250,0,0,1,1,1,1,1,1
6375,0,0,1,1,1,1,1,1
6500,0,0,1,1,1,1,1,1
6625,0,0,1,1,1,1,1,1
6750,0,0,1,1,1,1,1,1
6875,0,0,1,1,1,1,1,1
7000,0,0,1,1,1,1,1,1
7125,0,0,1,1,1,1,1,1
7250,0,0,1,1,1,1,1,1
7375,0,0,1,1,1,1,1,1
7500,0,0,1,1,1,1,1,1
7625,0,0,1,1,1,1,1,1
7750,0,0,1,1,1,1,1,1
7875,0,0,1,1,1,1,1,1
8000,0,0,1,1,1,1,1,1
8125,0,0,1,1,1,1,1,1
8250,0,0,1,1,1,1,1,1
8375,0,0,1,1,1,1,1,1
8500,0,0,1,1,1,1,1,1
8625,0,0,1,1,1,1,1,1
8750,0,0,1,1,1,1,1,1
8875,0,0,1,1,1,1,1,1
9000,0,0,1,1,1,1,1,1
9125,0,0,1,1,1,1,1,1
9250,0,0,1,1,1,1,1,1
9375,0,0,1,1,1,1,1,1
9500,0,0,1,1,1,1,1,1
9625,0,0,1,1,1,1,1,1
9750,0,0,1,1,1,1,1,1
9875,0,0,1,1,1,1,1,1
10000,0,0,1,1,1,1,1,1
10125,0,0,1,1,1,1,1,1
10250,0,0,1,1,1,1,1,1
10375,0,0,1,1,1,1,1,1
10500,0,0,1,1,1,1,1,1
10625,0,0,1,1,1,1,1,1
10750,0,0,1,1,1,1,1,1
10875,0,0,1,1,1,1,1,1
11000,0,0,1,1,1,1,1,1
11125,0,0,1,1,1,1,1,1
11250,0,0,1,1,1,1,1,1
11375,0,0,1,1,1,1,1,1
11500,0,0,1,1,1,1,1,1
11625,0,0,1,1,1,1,1,1
11750,0,0,1,1,1,1,1,1
11875,0,0,1,1,1,1,1,1
12000,0,0,1,1,1,1,1,1
12125,0,0,1,1,1,1,1,1
12250,0,0,1,1,1,1,1,1
12375,0,0,1,1,1,1,1,1
12500,0,0,0,0,1,1,1,1
13750,0,1,0,0,1,1,1,1
15000,0,0,0,0,1,1,1,1
16250,0,1,0,0,1,1,1,1
17500,0,0,0,0,1,1,1,1
18750,0,1,0,0,1,1,1,1
20000,0,0,0,0,1,1,1,1
21250,0,1,0,0,1,1,1,1
22500,0,0,0,0,1,1,1,1
23750,0,1,0,0,1,1,1,1
25000,0,0,0,0,1,1,1,1
26250,0,1,0,0,1,1,1,1
27500,0,0,1,0,1,1,1,1
28750,0,1,1,0,1,1,1,1
30000,0,0,0,0,1,1,1,1
31250,0,1,0,0,1,1,1,1
32500,0,0,0,0,1,1,1,1
33750,0,1,0,0,1,1,1,1
35000,0,0,0,0,1,1,1,1
36250,0,1,0,0,1,1,1,1
37500,0,0,0,0,1,1,1,1
38750,0,1,0,0,1,1,1,1
40000,0,0,0,0,1,1,1,1
41250,0,1,0,0,1,1,1,1
42500,0,0,1,0,1,1,1,1
43750,0,1,1,0,1,1,1,1
45000,0,0,1,0,1,1,1,1
46250,0,1,1,0,1,1,1,1
47500,0,0,1,0,1,1,1,1
48750,0,1,1,0,1,1,1,1
50000,0,0,1,0,1,1,1,1
51250,0,1,1,0,1,1,1,1
52500,0,0,1,0,1,1,1,1
53750,0,1,1,0,1,1,1,1
55000,0,0,0,0,1,1,1,1
56250,0,1,0,0,1,1,1,1
57500,0,0,0,0,1,1,1,1
